date,kr_interest
2005-01-01,4.0
2005-01-02,4.0
2005-01-03,4.0
2005-01-04,4.0
2005-01-05,4.0
2005-01-06,4.0
2005-01-07,4.0
2005-01-08,4.0
2005-01-09,4.0
2005-01-10,4.0
2005-01-11,4.0
2005-01-12,4.0
2005-01-13,4.0
2005-01-14,4.0
2005-01-15,4.0
2005-01-16,4.0
2005-01-17,4.0
2005-01-18,4.0
2005-01-19,4.0
2005-01-20,4.0
2005-01-21,4.0
2005-01-22,4.0
2005-01-23,4.0
2005-01-24,4.0
2005-01-25,4.0
2005-01-26,4.0
2005-01-27,4.0
2005-01-28,4.0
2005-01-29,4.0
2005-01-30,4.0
2005-01-31,4.0
2005-02-01,4.61
2005-02-02,4.61
2005-02-03,4.61
2005-02-04,4.61
2005-02-05,4.61
2005-02-06,4.61
2005-02-07,4.61
2005-02-08,4.61
2005-02-09,4.61
2005-02-10,4.61
2005-02-11,4.61
2005-02-12,4.61
2005-02-13,4.61
2005-02-14,4.61
2005-02-15,4.61
2005-02-16,4.61
2005-02-17,4.61
2005-02-18,4.61
2005-02-19,4.61
2005-02-20,4.61
2005-02-21,4.61
2005-02-22,4.61
2005-02-23,4.61
2005-02-24,4.61
2005-02-25,4.61
2005-02-26,4.61
2005-02-27,4.61
2005-02-28,4.61
2005-03-01,4.44
2005-03-02,4.44
2005-03-03,4.44
2005-03-04,4.44
2005-03-05,4.44
2005-03-06,4.44
2005-03-07,4.44
2005-03-08,4.44
2005-03-09,4.44
2005-03-10,4.44
2005-03-11,4.44
2005-03-12,4.44
2005-03-13,4.44
2005-03-14,4.44
2005-03-15,4.44
2005-03-16,4.44
2005-03-17,4.44
2005-03-18,4.44
2005-03-19,4.44
2005-03-20,4.44
2005-03-21,4.44
2005-03-22,4.44
2005-03-23,4.44
2005-03-24,4.44
2005-03-25,4.44
2005-03-26,4.44
2005-03-27,4.44
2005-03-28,4.44
2005-03-29,4.44
2005-03-30,4.44
2005-03-31,4.44
2005-04-01,4.24
2005-04-02,4.24
2005-04-03,4.24
2005-04-04,4.24
2005-04-05,4.24
2005-04-06,4.24
2005-04-07,4.24
2005-04-08,4.24
2005-04-09,4.24
2005-04-10,4.24
2005-04-11,4.24
2005-04-12,4.24
2005-04-13,4.24
2005-04-14,4.24
2005-04-15,4.24
2005-04-16,4.24
2005-04-17,4.24
2005-04-18,4.24
2005-04-19,4.24
2005-04-20,4.24
2005-04-21,4.24
2005-04-22,4.24
2005-04-23,4.24
2005-04-24,4.24
2005-04-25,4.24
2005-04-26,4.24
2005-04-27,4.24
2005-04-28,4.24
2005-04-29,4.24
2005-04-30,4.24
2005-05-01,3.99
2005-05-02,3.99
2005-05-03,3.99
2005-05-04,3.99
2005-05-05,3.99
2005-05-06,3.99
2005-05-07,3.99
2005-05-08,3.99
2005-05-09,3.99
2005-05-10,3.99
2005-05-11,3.99
2005-05-12,3.99
2005-05-13,3.99
2005-05-14,3.99
2005-05-15,3.99
2005-05-16,3.99
2005-05-17,3.99
2005-05-18,3.99
2005-05-19,3.99
2005-05-20,3.99
2005-05-21,3.99
2005-05-22,3.99
2005-05-23,3.99
2005-05-24,3.99
2005-05-25,3.99
2005-05-26,3.99
2005-05-27,3.99
2005-05-28,3.99
2005-05-29,3.99
2005-05-30,3.99
2005-05-31,3.99
2005-06-01,4.08
2005-06-02,4.08
2005-06-03,4.08
2005-06-04,4.08
2005-06-05,4.08
2005-06-06,4.08
2005-06-07,4.08
2005-06-08,4.08
2005-06-09,4.08
2005-06-10,4.08
2005-06-11,4.08
2005-06-12,4.08
2005-06-13,4.08
2005-06-14,4.08
2005-06-15,4.08
2005-06-16,4.08
2005-06-17,4.08
2005-06-18,4.08
2005-06-19,4.08
2005-06-20,4.08
2005-06-21,4.08
2005-06-22,4.08
2005-06-23,4.08
2005-06-24,4.08
2005-06-25,4.08
2005-06-26,4.08
2005-06-27,4.08
2005-06-28,4.08
2005-06-29,4.08
2005-06-30,4.08
2005-07-01,4.5
2005-07-02,4.5
2005-07-03,4.5
2005-07-04,4.5
2005-07-05,4.5
2005-07-06,4.5
2005-07-07,4.5
2005-07-08,4.5
2005-07-09,4.5
2005-07-10,4.5
2005-07-11,4.5
2005-07-12,4.5
2005-07-13,4.5
2005-07-14,4.5
2005-07-15,4.5
2005-07-16,4.5
2005-07-17,4.5
2005-07-18,4.5
2005-07-19,4.5
2005-07-20,4.5
2005-07-21,4.5
2005-07-22,4.5
2005-07-23,4.5
2005-07-24,4.5
2005-07-25,4.5
2005-07-26,4.5
2005-07-27,4.5
2005-07-28,4.5
2005-07-29,4.5
2005-07-30,4.5
2005-07-31,4.5
2005-08-01,4.81
2005-08-02,4.81
2005-08-03,4.81
2005-08-04,4.81
2005-08-05,4.81
2005-08-06,4.81
2005-08-07,4.81
2005-08-08,4.81
